年度,低收入戶戶數,低收入戶人數,低收入戶男性人數,低收入戶女性人數,中低收入戶戶數,中低收入戶人數,中低收入戶男性人數,中低收入戶女性人數
2003,76406,187875,92793,95082,,,,
2004,82783,204216,101366,102850,,,,
2005,84823,211292,104745,106547,,,,
2006,89900,218166,108097,110069,,,,
2007,90682,220990,110639,110351,,,,
2008,93032,223697,113281,110416,,,,
2009,105265,256342,130515,125827,,,,
2010,112200,273361,140672,132689,,,,
2011,128237,314282,160644,153638,35420,120042,58771,61271
2012,145613,357446,182335,175111,88988,282019,138710,143309
2013,148590,361765,186087,175678,108589,334391,166156,168235
2014,149958,357722,185438,172284,114522,349130,174099,175031
2015,146379,342490,178253,164237,117686,356185,177675,178510
2016,145176,331776,173763,158013,119081,358161,178516,179645
2017,142814,317257,167287,149970,117776,350425,174377,176048
2018,143941,311526,165319,146207,115570,338468,168163,170305
2019,144863,304470,162658,141812,115937,334237,165881,168356
2020,146342,300241,161390,138851,114840,325681,161787,163894
2021,146995,295901,159633,136268,111814,312355,155137,157218
2022,146029,288703,155932,132771,108448,296697,147060,149637
2023,144668,277364,150565,126799,107664,286717,141756,144961
2024,139333,261216,142803,118413,97855,259185,128541,130644
